source,author,title,description,url,url_to_image,published_on,content,SentimentScore,Compound,Popup,LocationNames,Coordinates,Latitude,Longitude,FrequentWords,Colors
The Indian Express,Author not available,Somalia suspend athletics chair after runner takes 21 seconds to finish 100m,"Nasra Abukar Ali lined up for the women's 100m at the student games in China but she finished dead last, more than 10 seconds behind the race winner who clocked 11.58 seconds.",https://indianexpress.com/article/sports/sport-others/somalia-suspend-athletics-chair-after-runner-takes-21-seconds-to-finish-100m-8875688/,https://images.indianexpress.com/2023/08/Nasra-Abukar-Ali.jpg,2023-08-04T02:46:32Z,"Somalia’s minister of youth and sports suspended the chairwoman of the country’s athletics federation and is set to initiate legal action after a female sprinter took more than 21 seconds to complete the 100 metres at the World University Games.
Nasr... [1562 chars]","{'neg': 0.068, 'neu': 0.899, 'pos': 0.033, 'compound': -0.3818}",-0.3818,"Somalia suspend athletics chair after runner takes 21 seconds to finish 100m
https://indianexpress.com/article/sports/sport-others/somalia-suspend-athletics-chair-after-runner-takes-21-seconds-to-finish-100m-8875688/",{'Countries': ['Somalia']},"(8.3676771, 49.083416)",8.468089962500164,48.597277894611196,"[('Somalia', 1), ('minister', 1), ('youth', 1), ('sports', 1), ('suspended', 1)]",#f8b01f
NEWS.com.au,Author not available,‘Defamed the nation’: First head rolls over ‘corrupt’ 100m run,The fallout from Somalia’s runner scandal has been –– ironically –– fast.,https://www.news.com.au/sport/olympics/defamed-the-nation-first-head-rolls-over-corrupt-100m-run/news-story/fbbd7e0f84aaedc51ef55b0cbce10168,https://content.api.news/v3/images/bin/be14ab3d99a9d61f1ab810ec3426b917,2023-08-03T22:15:00Z,"The fallout from Somalia’s runner scandal has been –– ironically –– fast.
Khadijo Aden Dahir, chairwoman of the Somali Athletics Federation, was suspended on Thursday after Nasra Ali Abukar, who is alleged to be her niece, competed in the women’s 100... [3459 chars]","{'neg': 0.128, 'neu': 0.872, 'pos': 0.0, 'compound': -0.7184}",-0.7184,"‘Defamed the nation’: First head rolls over ‘corrupt’ 100m run
https://www.news.com.au/sport/olympics/defamed-the-nation-first-head-rolls-over-corrupt-100m-run/news-story/fbbd7e0f84aaedc51ef55b0cbce10168",{'Countries': ['Peru']},"(-6.8699697, -75.0458515)",-7.254656033982158,-74.75043606648217,"[('fallout', 1), ('Somalia', 1), ('runner', 1), ('scandal', 1), ('ironically', 1)]",#f95323
CBS News,Author not available,"Somalia suspends athletics chief after video of slow runner goes viral, amid accusations of nepotism",The head of Somalia's national athletics federation has been suspended after a video of the agonizingly slow run by Nasra Abukar was shared on social media.,https://www.cbsnews.com/news/somalia-slow-runner-nasra-abukar-athletics-accusations-nepotism/,https://assets3.cbsnewsstatic.com/hub/i/r/2023/08/03/9fc2a14e-fb6d-43ee-a935-354c073c7af7/thumbnail/1200x630/715ee0baa6fb11a0d3f1af3493b351bd/somalia-slow-runner.jpg?v=523df724471d66f84598615fede8d33f,2023-08-03T14:46:49Z,"The chairwoman of Somalia's national athletics federation has been suspended amid accusations of nepotism after a seemingly untrained female sprinter represented the African country at the World University Games in China, and took more than 20 second... [1527 chars]","{'neg': 0.127, 'neu': 0.873, 'pos': 0.0, 'compound': -0.6597}",-0.6597,"Somalia suspends athletics chief after video of slow runner goes viral, amid accusations of nepotism
https://www.cbsnews.com/news/somalia-slow-runner-nasra-abukar-athletics-accusations-nepotism/",{'Countries': ['Somalia']},"(8.3676771, 49.083416)",8.610195734047352,48.92641569220079,"[('chairwoman', 1), ('Somalia', 1), ('national', 1), ('athletics', 1), ('federation', 1)]",#f95323
Devdiscourse,Author not available,Athletics-Somalia suspend athletics chair after runner takes 21 seconds to finish 100m,"Sports Minister Mohamed Barre Mohamud said an investigation was conducted with Somalia's National Olympic Committee which revealed Ali was neither a sports person nor a runner. ""Khadijo Aden Dahir, the Chairwoman of the Somali Athletics Federation, has engaged in acts of abuse of power, nepotism, and defaming the name of the nation in (the) international arena,"" the minister said in a statement.",https://www.devdiscourse.com/article/sports-games/2545645-athletics-somalia-suspend-athletics-chair-after-runner-takes-21-seconds-to-finish-100m,https://www.devdiscourse.com/remote.axd?https://devdiscourse.blob.core.windows.net/imagegallery/16_01_2019_13_01_16_4088895.jpg?width=920&format=jpeg,2023-08-03T03:02:23Z,Somalia's minister of youth and sports suspended the chairwoman of the country's athletics federation and is set to initiate legal action after a female sprinter took more than 21 seconds to complete the 100 metres at the World University Games. Nasr... [1335 chars],"{'neg': 0.068, 'neu': 0.899, 'pos': 0.033, 'compound': -0.3818}",-0.3818,"Athletics-Somalia suspend athletics chair after runner takes 21 seconds to finish 100m
https://www.devdiscourse.com/article/sports-games/2545645-athletics-somalia-suspend-athletics-chair-after-runner-takes-21-seconds-to-finish-100m",{'Countries': ['Peru']},"(-6.8699697, -75.0458515)",-6.750909685317106,-74.93461424211297,"[('Somalia', 1), ('minister', 1), ('youth', 1), ('sports', 1), ('suspended', 1)]",#f8b01f
News18,Author not available,"VIRAL VIDEO: Somali University Sprinter's Snail-Paced 100-Meter Prompts Sacking, Nepotism Debate",Somalia's sports minister apologizes and suspends federation chairwoman after untrained sprinter's slow performance at World University Games.,https://www.news18.com/world/viral-video-somali-university-sprinters-snail-paced-100-meter-prompts-sacking-nepotism-debate-8491351.html,https://images.news18.com/ibnlive/uploads/2023/08/untitled-design-31-169102286916x9.png,2023-08-03T00:46:37Z,"At the World University Games in China, Nasra Abukar Ali, a 20-year-old female sprinter from Somalia, caught the eye of social media with her recent race. Seemingly untrained Nasra took over 20 seconds to complete the 100-meter race, trailing far beh... [2140 chars]","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,"VIRAL VIDEO: Somali University Sprinter's Snail-Paced 100-Meter Prompts Sacking, Nepotism Debate
https://www.news18.com/world/viral-video-somali-university-sprinters-snail-paced-100-meter-prompts-sacking-nepotism-debate-8491351.html",{'Countries': ['Peru']},"(-6.8699697, -75.0458515)",-6.464039584487796,-75.21797215536398,"[('Nasra', 2), ('20', 2), ('race', 2), ('World', 1), ('University', 1)]",#f8b01f
RTE.ie,Author not available,Inquiry after runner takes 21 seconds to finish 100m,Somalia's minister of youth and sports suspended the chairwoman of the country's athletics federation and is set to initiate legal action after a female sprinter took more than 21 seconds to complete the 100 metres at the World University Games.,https://www.rte.ie/news/world/2023/0803/1398038-somalia-athlete/,https://img.rasset.ie/001e88d2-1600.jpg,2023-08-02T23:00:00Z,"Somalia's minister of youth and sports suspended the chairwoman of the country's athletics federation and is set to initiate legal action after a female sprinter took more than 21 seconds to complete the 100 metres at the World University Games.
Nasr... [1515 chars]","{'neg': 0.068, 'neu': 0.899, 'pos': 0.033, 'compound': -0.3818}",-0.3818,"Inquiry after runner takes 21 seconds to finish 100m
https://www.rte.ie/news/world/2023/0803/1398038-somalia-athlete/",{'Countries': ['Peru']},"(-6.8699697, -75.0458515)",-7.190439937879413,-75.03419008076344,"[('Somalia', 1), ('minister', 1), ('youth', 1), ('sports', 1), ('suspended', 1)]",#f8b01f
The Guardian,Author not available,Somalian sports minister sorry after ‘slowest ever’ 100m runner goes viral,Somalia’s sports minister publicly apologized Wednesday for a sprinter who needed more than 20 seconds to complete the 100m at the World University Games,https://www.theguardian.com/sport/2023/aug/02/slowest-ever-sprinter-somalia-nasra-abukar-ali,https://i.guim.co.uk/img/media/010b0d582127b86ee9017c86a545c60a945aa16a/0_304_4566_2741/master/4566.jpg?width=1200&height=630&quality=85&auto=format&fit=crop&overlay-align=bottom%2Cleft&overlay-width=100p&overlay-base64=L2ltZy9zdGF0aWMvb3ZlcmxheXMvdGctZGVmYXVsdC5wbmc&enable=upscale&s=7c8b106061f0218bd455c0d684633316,2023-08-02T21:57:10Z,Somalia’s sports minister publicly apologized Wednesday and ordered that the chairwoman of the national track and field federation be suspended after a seemingly untrained female sprinter represented the African country at the World University Games ... [1353 chars],"{'neg': 0.075, 'neu': 0.87, 'pos': 0.056, 'compound': -0.2023}",-0.2023,"Somalian sports minister sorry after ‘slowest ever’ 100m runner goes viral
https://www.theguardian.com/sport/2023/aug/02/slowest-ever-sprinter-somalia-nasra-abukar-ali",{'Countries': ['Peru']},"(-6.8699697, -75.0458515)",-6.992767932491502,-74.88600153977909,"[('Somalia', 1), ('sports', 1), ('minister', 1), ('publicly', 1), ('apologized', 1)]",#f8b01f
CBC.ca,Author not available,Somalian sports minister apologizes after slow 100M runner goes viral at University Games,Somalia's sports minister publicly apologized Wednesday and ordered that the chairwoman of the national track and field federation be suspended after a seemingly untrained female sprinter represented the African country at the World University Games in China and took more than 20 seconds to finish a 100-metre race.,https://www.cbc.ca/sports/olympics/summer/trackandfield/university-games-slow-runner-viral-1.6925802,https://i.cbc.ca/1.6925818.1691005993!/fileImage/httpImage/image.jpg_gen/derivatives/16x9_620/university-games-080223.jpg,2023-08-02T20:10:16Z,Somalia's sports minister publicly apologized Wednesday and ordered that the chairwoman of the national track and field federation be suspended after a seemingly untrained female sprinter represented the African country at the World University Games ... [1320 chars],"{'neg': 0.075, 'neu': 0.87, 'pos': 0.056, 'compound': -0.2023}",-0.2023,"Somalian sports minister apologizes after slow 100M runner goes viral at University Games
https://www.cbc.ca/sports/olympics/summer/trackandfield/university-games-slow-runner-viral-1.6925802",{'Countries': ['Peru']},"(-6.8699697, -75.0458515)",-7.309151506002672,-75.41641689063106,"[('Somalia', 1), ('sports', 1), ('minister', 1), ('publicly', 1), ('apologized', 1)]",#f8b01f
Livemint,Author not available,"Watch: Somalia athlete in no hurry to finish 100m race, netizens react","Somalia is facing criticism for selecting an inexperienced sprinter, who took nearly twice the time of the winner to complete the race.",https://www.livemint.com/sports/athletics-news/watch-somalia-athlete-in-no-hurry-to-finish-100m-race-netizens-react-11691043410190.html,https://www.livemint.com/lm-img/img/2023/08/03/600x338/Somalia_run_1691043716122_1691043716495.jpg,2023-08-02T18:30:00Z,"In a recent sports event that garnered attention in Somalia, officials faced criticism for their selection of a novice 100-metre sprinter, Nasra Abubakar Ali, to represent the country at the World University Games in China. The young athlete, lacking... [1351 chars]","{'neg': 0.068, 'neu': 0.932, 'pos': 0.0, 'compound': -0.4404}",-0.4404,"Watch: Somalia athlete in no hurry to finish 100m race, netizens react
https://www.livemint.com/sports/athletics-news/watch-somalia-athlete-in-no-hurry-to-finish-100m-race-netizens-react-11691043410190.html",{'Countries': ['Somalia']},"(8.3676771, 49.083416)",8.22877745217243,49.101401835385495,"[('recent', 1), ('sports', 1), ('event', 1), ('garnered', 1), ('attention', 1)]",#f98121
Newsweek,Author not available,Somalia Runner Recording Painfully Slow Time in 100m Race Sparks Outrage,"Nasra Ali Abukar's 100m performance at the FISU World University Games in Chengdu, China, promptined outcry",https://www.newsweek.com/somalia-runner-recording-slowest-ever-100m-sparks-outrage-1816841,https://d.newsweek.com/en/full/2264623/2023-summer-universiade-opening-ceremony.jpg,2023-08-02T09:39:39Z,"A female athlete from Somalia's poor performance in the 100m at the FISU 2023 World University Games, an international multi-sport event for university athletes, in Chengdu, China, has been pilloried online.
Nasra Ali Abukar ran the distance in 21.81... [3643 chars]","{'neg': 0.072, 'neu': 0.928, 'pos': 0.0, 'compound': -0.4767}",-0.4767,"Somalia Runner Recording Painfully Slow Time in 100m Race Sparks Outrage
https://www.newsweek.com/somalia-runner-recording-slowest-ever-100m-sparks-outrage-1816841",{'Countries': ['Somalia']},"(8.3676771, 49.083416)",8.741940147459477,48.889168864437686,"[('female', 1), ('athlete', 1), ('Somalia', 1), ('poor', 1), ('performance', 1)]",#f98121
